bet09_value,commission_value,n_rows,n_both_null,n_null_asym,n_value_diff,pct_value_diff,max_abs_diff,d_min,d_max,sum_abs_diff,n_both_zero,n_b41_zero_vb_pos,n_b41_pos_vb_zero,d_sign_uniform,b41_sum,vb_sum,verdict_stratum,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_hiturn,roi_non_hiturn,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_hiturn,avg_stake_non_hiturn,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_hiturn,hold_rate,hold_rate_hiturn,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_hiturn,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_hiturn,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
Tip_1_,0,5564,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,5564,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Bear8,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Lucky7TwoCard,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SmallTiger,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie4,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie5,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie8,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie9,0,1,0,0,1,100.00000000,10.00000000,-10.00000000,-10.00000000,10.00000000,0,1,0,B41_LE_VB_CONSTANT,0.00,10.00,CONDITIONAL,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.02,0.88,0.88,0.02,0.02,,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Small,0,21434,0,0,1,0.00466550,10.00000000,-10.00000000,0E-8,10.00000000,0,1,0,B41_LE_VB_UNIFORM,15050445.00,15050455.00,CONDITIONAL,2321583.8920,2321583.8920,98606.8118,22842,22663,-0.04247394,,-0.04247394,-0.05059533,-98606.8118,2321583.8920,OK,18854.4886,4837.0647,3.7326,96.2674,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,4837.0647,4823.7422,4753.0377,5337.2572,5402.0118,3.732642,3.743674,3.911654,3.851961,4.001467,96.267358,96.256326,96.088346,96.148039,95.998533,4.9986,25153.1136,22740.515,54599.2096,57011.8082,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,93769.7471,2211327.2425,79752.3232,74915.2585,-14017.4239,0.03435255,0.03226903,4837.0647,74915.2585,0.03226903,4837.0647,4823.7422,4753.0377,5337.2572,5402.0118,74915.2585,0.03226903,25153.1136,22740.515,54599.2096,57011.8082,0.02351809,0.02455729,-0.00603787,101.6366,102.4394,4.3510,709.4015,13.0381,16702.0424,163.0432,,101.6366,2.2009,6.2314,19.4645,109.2395,215.3614,1354.5695,6.2314,-2.1006,34.560474,217.376799,16.310308,30,253,1660,1,0E-8,0.04247394,,0.00812139,0.088495,1.000000,0.067814,,2026-03-21,2026-08-06,139,7563,2807,139,1.000000,,0.187022,0.079256,2,0.16,0.54,0.54,0.28,0.28,0.14285714285714285,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01236861,E 常规,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Small,1,1552,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,145900.00,145900.00,IDENTICAL_NONZERO,2321583.8920,2321583.8920,98606.8118,22842,22663,-0.04247394,,-0.04247394,-0.05059533,-98606.8118,2321583.8920,OK,18854.4886,4837.0647,3.7326,96.2674,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,4837.0647,4823.7422,4753.0377,5337.2572,5402.0118,3.732642,3.743674,3.911654,3.851961,4.001467,96.267358,96.256326,96.088346,96.148039,95.998533,4.9986,25153.1136,22740.515,54599.2096,57011.8082,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,93769.7471,2211327.2425,79752.3232,74915.2585,-14017.4239,0.03435255,0.03226903,4837.0647,74915.2585,0.03226903,4837.0647,4823.7422,4753.0377,5337.2572,5402.0118,74915.2585,0.03226903,25153.1136,22740.515,54599.2096,57011.8082,0.02351809,0.02455729,-0.00603787,101.6366,102.4394,4.3510,709.4015,13.0381,16702.0424,163.0432,,101.6366,2.2009,6.2314,19.4645,109.2395,215.3614,1354.5695,6.2314,-2.1006,34.560474,217.376799,16.310308,30,253,1660,1,0E-8,0.04247394,,0.00812139,0.088495,1.000000,0.067814,,2026-03-21,2026-08-06,139,7563,2807,139,1.000000,,0.187022,0.079256,2,0.16,0.54,0.54,0.28,0.28,0.14285714285714285,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01236861,E 常规,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
AnyPair,0,141591,0,0,1,0.00070630,10.00000000,-10.00000000,0E-8,10.00000000,1,1,0,B41_LE_VB_UNIFORM,528315778.00,528315788.00,CONDITIONAL,1627571.0727,1627571.0727,267150.7134,153193,148889,-0.16414074,,-0.16414074,-0.16433579,-267150.7134,1627571.0727,OK,317.4720,10746.5903,4.0320,95.9680,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,10746.5903,10816.3793,11137.0314,10452.7431,10080.5758,4.031973,4.058514,4.144821,3.754370,4.207557,95.968027,95.941486,95.855179,96.245630,95.792443,4.9864,53233.3198,49025.6265,213599.9216,217807.6149,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,256404.1231,1562985.2442,266833.2414,256086.6511,10429.1183,0.16394568,0.15734284,10746.5903,256086.6511,0.15734284,10746.5903,10816.3793,11137.0314,10452.7431,10080.5758,256086.6511,0.15734284,53233.3198,49025.6265,213599.9216,217807.6149,0.13123846,0.13382372,0.00640778,10.6243,10.9314,1.7943,1921.9476,7.3528,11709.1444,1071.1439,,10.6243,2.5716,5.1431,10.4704,21.5304,39.2639,100.0,5.1431,-4.0878,7.634282,19.4435,2.065739,30,283,8531,1,0E-8,0.16414074,,0.00019506,0.043061,1.000000,0.080970,,2026-03-21,2026-08-06,139,36333,3972,139,1.000000,,1.255743,0.748480,1,0.2,0.18,0.18,0.16,0.16,0.0,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00482557,E 常规,11,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
AnyPair,1,12487,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,16970561.00,16970561.00,IDENTICAL_NONZERO,1627571.0727,1627571.0727,267150.7134,153193,148889,-0.16414074,,-0.16414074,-0.16433579,-267150.7134,1627571.0727,OK,317.4720,10746.5903,4.0320,95.9680,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,10746.5903,10816.3793,11137.0314,10452.7431,10080.5758,4.031973,4.058514,4.144821,3.754370,4.207557,95.968027,95.941486,95.855179,96.245630,95.792443,4.9864,53233.3198,49025.6265,213599.9216,217807.6149,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,256404.1231,1562985.2442,266833.2414,256086.6511,10429.1183,0.16394568,0.15734284,10746.5903,256086.6511,0.15734284,10746.5903,10816.3793,11137.0314,10452.7431,10080.5758,256086.6511,0.15734284,53233.3198,49025.6265,213599.9216,217807.6149,0.13123846,0.13382372,0.00640778,10.6243,10.9314,1.7943,1921.9476,7.3528,11709.1444,1071.1439,,10.6243,2.5716,5.1431,10.4704,21.5304,39.2639,100.0,5.1431,-4.0878,7.634282,19.4435,2.065739,30,283,8531,1,0E-8,0.16414074,,0.00019506,0.043061,1.000000,0.080970,,2026-03-21,2026-08-06,139,36333,3972,139,1.000000,,1.255743,0.748480,1,0.2,0.18,0.18,0.16,0.16,0.0,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00482557,E 常规,12,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
