"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"type","VARCHAR(65533)","source_type=varchar(10); "
"cnname","VARCHAR(65533)","source_type=varchar(20); "
"twname","VARCHAR(65533)","source_type=varchar(20); "
"enname","VARCHAR(65533)","source_type=varchar(20); "
"inname","VARCHAR(65533)","source_type=varchar(20); "
"janame","VARCHAR(65533)","source_type=varchar(20); "
"koname","VARCHAR(65533)","source_type=varchar(20); "
"thname","VARCHAR(65533)","source_type=varchar(20); "
"viname","VARCHAR(65533)","source_type=varchar(20); "
"hiname","VARCHAR(65533)","source_type=varchar(20); "
"msname","VARCHAR(65533)","source_type=varchar(20); "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
