uid,n_orders_all,n_orders_late,late_def,late_share,shoe_pos_p50,stake_late_avg,stake_early_avg,stake_ramp,roi_late,roi_early,stake_late,game_pnl_late,stake_all,game_pnl_all,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_late_xagg,roi_non_late,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_late,avg_stake_non_late,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_late,hold_rate,hold_rate_late,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_late,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_late,ramp_recent,stake_ramp_xagg,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
100072386,114,28,shoe_pos>=0.80,0.2456140,0.8597756624221802,7.540291856200,6.556790118817,1.149997440754,0.139856459331,0.029362235758,211.1281719736,29.5276385972,775.0121221919,46.0845320837,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,1,1
100119825,190,34,shoe_pos>=0.80,0.1789474,0.8647825717926025,824.836826529347,888.843238085121,0.927989088724,-0.053787552989,0.026611931211,28044.4521019978,-1508.4424534801,166703.9972432766,2181.5558235711,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,2,1
100391370,185,109,shoe_pos>=0.80,0.5891892,0.936170220375061,4.557869934421,3.844010786591,1.185706853456,0.120740138273,0.130082987561,496.8078228519,59.9846452261,788.9526426328,97.9877161836,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,3,1
100794811,109,28,shoe_pos>=0.80,0.2568807,0.8333333134651184,8.564905677800,7.734756468658,1.107327129497,-0.181128896377,0.211189938730,239.8173589784,-43.4378535639,866.3326329397,88.8758687575,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,4,1
100800271,963,165,shoe_pos>=0.80,0.1713396,0.8510637879371643,52.419295590450,58.107022040297,0.902116366488,-0.003375379584,0.028186135681,8649.1837724243,-29.1942783242,55018.5873605816,1277.7800226390,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,5,1
101082770,150,17,shoe_pos>=0.80,0.1133333,0.9111111164093018,15.864358226282,12.736358915428,1.245596039781,0.028571428571,0.117179681577,269.6940898468,7.7055454241,1963.6298255987,206.2003955507,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,6,1
101363860,109,21,shoe_pos>=0.80,0.1926606,0.8888888955116272,59.360256143819,61.919604155335,0.958666596041,0.080632090762,0.185595105673,1246.5653790202,100.5131727818,6695.4905446897,1111.8070147081,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,7,1
101628935,131,31,shoe_pos>=0.80,0.2366412,0.914893627166748,140.904185154084,175.812186843367,0.801447201607,-0.383903792784,-0.210583773845,4368.0297397766,-1676.9031840957,21949.2484241133,-5379.2225634392,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,8,1
101768716,105,50,shoe_pos>=0.80,0.4761905,0.914893627166748,51.842573137214,54.461701221031,0.951908808849,0.194045206547,-0.222146904087,2592.1286568607,502.9901406181,5587.5222240174,-162.4272668490,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,9,1
102115605,398,91,shoe_pos>=0.80,0.2286432,0.8999999761581421,3.714363864655,3.537942591590,1.049865499085,0.404662283332,-0.360109747019,338.0071116836,136.7787295965,1424.1554873016,-254.3538871729,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,10,1
