table,mb,rows,ncol,n_own,column,nonempty,fill_rate,n_distinct,status,vmin,vmax,vmed
_PH0_3_lmc_category.csv,0,3,139,21,n_rounds,3,1,1,CONSTANT_BROADCAST,6048562,6048562,6048562
_PH0_3_lmc_category.csv,0,3,139,21,active_days,3,1,1,CONSTANT_BROADCAST,139,139,139
_PH0_3_lmc_category.csv,0,3,139,21,agent_cost_bet23_formal_canonical,3,1,1,CONSTANT_BROADCAST,9199860.2962,9199860.2962,9199860.2962
_PH0_4b_rg_keyword.csv,0,3,138,20,stake,3,1,1,CONSTANT_BROADCAST,13436093473.3333,13436093473.3333,13436093473.3333
_PH0_4b_rg_keyword.csv,0,3,138,20,valid_bet,3,1,1,CONSTANT_BROADCAST,12101545164.6445,12101545164.6445,12101545164.6445
_PH0_4b_rg_keyword.csv,0,3,138,20,profit,3,1,1,CONSTANT_BROADCAST,225932201.2126,225932201.2126,225932201.2126
_PH0_4b_rg_keyword.csv,0,3,138,20,rebate_cost,3,1,1,CONSTANT_BROADCAST,8220755.8918,8220755.8918,8220755.8918
_PH0_4b_rg_keyword.csv,0,3,138,20,ngr,3,1,1,CONSTANT_BROADCAST,217711445.3207,217711445.3207,217711445.3207
_PH0_4b_rg_keyword.csv,0,3,138,20,net_margin_bet23_formal_canonical,3,1,1,CONSTANT_BROADCAST,208511585.0246,208511585.0246,208511585.0246
_PH0_4b_rg_keyword.csv,0,3,138,20,net_margin_chain_nested_canonical,3,1,1,CONSTANT_BROADCAST,174476591.9375,174476591.9375,174476591.9375
_PH0_4b_rg_keyword.csv,0,3,138,20,residual_a,3,1,1,CONSTANT_BROADCAST,979104.4043,979104.4043,979104.4043
_PH0_4b_rg_keyword.csv,0,3,138,20,residual_b,3,1,1,CONSTANT_BROADCAST,208511585.0246,208511585.0246,208511585.0246
_PH0_4b_rg_keyword.csv,0,3,138,20,hold_rate,3,1,1,CONSTANT_BROADCAST,0.01681532,0.01681532,0.01681532
_PH0_4b_rg_keyword.csv,0,3,138,20,roi,3,1,1,CONSTANT_BROADCAST,-0.01681532,-0.01681532,-0.01681532
_PH0_4b_rg_keyword.csv,0,3,138,20,roi_ex_rebate,3,1,1,CONSTANT_BROADCAST,-0.01742716,-0.01742716,-0.01742716
_PH0_4b_rg_keyword.csv,0,3,138,20,economic_value,3,1,1,CONSTANT_BROADCAST,0,0,0
_PH0_4b_rg_keyword.csv,0,3,138,20,risk_value,3,1,1,CONSTANT_BROADCAST,0,0,0
_PH0_4b_rg_keyword.csv,0,3,138,20,action_priority,3,1,1,CONSTANT_BROADCAST,,,
_PH0_4b_rg_keyword.csv,0,3,138,20,decision_status,3,1,1,CONSTANT_BROADCAST,,,
_PH0_4b_rg_keyword.csv,0,3,138,20,vip_tier,3,1,3,PER_ROW,1,3,2
_PH0_4b_rg_keyword.csv,0,3,138,20,pr_qualified,3,1,1,CONSTANT_BROADCAST,0,0,0
_PH0_4b_rg_keyword.csv,0,3,138,20,evidence_rate,3,1,1,CONSTANT_BROADCAST,,,
_PH0_4b_rg_keyword.csv,0,3,138,20,hold_ci_halfwidth_approx,3,1,1,CONSTANT_BROADCAST,0.0007571,0.0007571,0.0007571
_PH0_4b_rg_keyword.csv,0,3,138,20,n_bets,3,1,1,CONSTANT_BROADCAST,124713543,124713543,124713543
_PH0_4b_rg_keyword.csv,0,3,138,20,n_rounds,3,1,1,CONSTANT_BROADCAST,6048562,6048562,6048562
_PH0_4b_rg_keyword.csv,0,3,138,20,active_days,3,1,1,CONSTANT_BROADCAST,139,139,139
_PH0_4b_rg_keyword.csv,0,3,138,20,agent_cost_bet23_formal_canonical,3,1,1,CONSTANT_BROADCAST,9199860.2962,9199860.2962,9199860.2962
_PH0_4L1_member_columns.csv,0.1,87,132,14,stake,87,1,1,CONSTANT_BROADCAST,13436093473.3333,13436093473.3333,13436093473.3333
_PH0_4L1_member_columns.csv,0.1,87,132,14,valid_bet,87,1,1,CONSTANT_BROADCAST,12101545164.6445,12101545164.6445,12101545164.6445
_PH0_4L1_member_columns.csv,0.1,87,132,14,profit,87,1,1,CONSTANT_BROADCAST,225932201.2126,225932201.2126,225932201.2126
_PH0_4L1_member_columns.csv,0.1,87,132,14,rebate_cost,87,1,1,CONSTANT_BROADCAST,8220755.8918,8220755.8918,8220755.8918
_PH0_4L1_member_columns.csv,0.1,87,132,14,ngr,87,1,1,CONSTANT_BROADCAST,217711445.3207,217711445.3207,217711445.3207
_PH0_4L1_member_columns.csv,0.1,87,132,14,net_margin_bet23_formal_canonical,87,1,1,CONSTANT_BROADCAST,208511585.0246,208511585.0246,208511585.0246
_PH0_4L1_member_columns.csv,0.1,87,132,14,net_margin_chain_nested_canonical,87,1,1,CONSTANT_BROADCAST,174476591.9375,174476591.9375,174476591.9375
_PH0_4L1_member_columns.csv,0.1,87,132,14,residual_a,87,1,1,CONSTANT_BROADCAST,979104.4043,979104.4043,979104.4043
