"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"asl001","VARCHAR(65533)","source_type=int(11); sub_id"
"asl002","VARCHAR(65533)","source_type=int(11); site"
"asl003","VARCHAR(65533)","source_type=varchar(50); sid"
"asl004","VARCHAR(65533)","source_type=datetime; this_login"
"asl005","VARCHAR(65533)","source_type=datetime; last_login"
"asl006","VARCHAR(1048576)","source_type=text; ip"
"asl007","VARCHAR(1048576)","source_type=text; info"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
