__source_pk,dt,id,time,bet05,bet02,bet39,bet18,source_db,source_table,ods_table_name,sync_time
346527158,2026-03-27,346527158,2026-03-27,1112471,101,112,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527164,2026-03-27,346527164,2026-03-27,1312497,101,906,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527170,2026-03-27,346527170,2026-03-27,1953578,101,35,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527185,2026-03-27,346527185,2026-03-27,3060035,101,33,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527191,2026-03-27,346527191,2026-03-27,3060035,101,913,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527201,2026-03-27,346527201,2026-03-27,3604354,101,2,1652,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527215,2026-03-27,346527215,2026-03-27,3774826,101,2,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527222,2026-03-27,346527222,2026-03-27,3774826,101,113,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527229,2026-03-27,346527229,2026-03-27,4074477,101,1,4328,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527236,2026-03-27,346527236,2026-03-27,4218122,101,116,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527243,2026-03-27,346527243,2026-03-27,4345126,101,8,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527248,2026-03-27,346527248,2026-03-27,4345126,101,36,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527257,2026-03-27,346527257,2026-03-27,4517510,101,1,868,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527260,2026-03-27,346527260,2026-03-27,4517510,101,6,868,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527274,2026-03-27,346527274,2026-03-27,4713785,101,907,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527281,2026-03-27,346527281,2026-03-27,4837129,101,2,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527295,2026-03-27,346527295,2026-03-27,4956894,101,5,3417,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527304,2026-03-27,346527304,2026-03-27,5102585,101,116,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527310,2026-03-27,346527310,2026-03-27,5276469,101,6,6286,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527327,2026-03-27,346527327,2026-03-27,5328575,101,115,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527333,2026-03-27,346527333,2026-03-27,5383143,101,1,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527338,2026-03-27,346527338,2026-03-27,5383143,101,32,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527346,2026-03-27,346527346,2026-03-27,5388004,101,5,6095,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527352,2026-03-27,346527352,2026-03-27,5458116,101,35,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527359,2026-03-27,346527359,2026-03-27,5487658,101,1,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527365,2026-03-27,346527365,2026-03-27,5487658,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527371,2026-03-27,346527371,2026-03-27,5501762,101,910,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527384,2026-03-27,346527384,2026-03-27,5648004,101,32,1180,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527390,2026-03-27,346527390,2026-03-27,5648004,101,115,1180,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527402,2026-03-27,346527402,2026-03-27,5692616,101,112,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527409,2026-03-27,346527409,2026-03-27,5724141,101,33,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527416,2026-03-27,346527416,2026-03-27,5798334,101,7,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527421,2026-03-27,346527421,2026-03-27,5824952,101,115,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527435,2026-03-27,346527435,2026-03-27,5860586,101,906,264,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527440,2026-03-27,346527440,2026-03-27,5861445,101,2,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527454,2026-03-27,346527454,2026-03-27,5861445,101,911,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527463,2026-03-27,346527463,2026-03-27,5883259,101,31,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527468,2026-03-27,346527468,2026-03-27,5883259,101,37,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527477,2026-03-27,346527477,2026-03-27,5883259,101,910,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527482,2026-03-27,346527482,2026-03-27,5892712,101,112,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527489,2026-03-27,346527489,2026-03-27,5950467,101,6,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527496,2026-03-27,346527496,2026-03-27,5950467,101,908,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527507,2026-03-27,346527507,2026-03-27,5973753,101,31,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
346527513,2026-03-27,346527513,2026-03-27,6013005,101,1,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22 02:43:05
