__source_pk,dt,ps001,ps002,ps003,ps004,ps005,ps006,ps007,ps008,ps009,ps010,ps011,displayname,source_db,source_table,ods_table_name,sync_time
70efdf2ec9b086079795c442636b55fb,2026-07-23,17,121,2.20,10,10000,50,0,0,0,0,0,富貴三寶,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
c74d97b01eae257e44aa9d5bade97baf,2026-07-23,16,117,2.20,10,10000,50,0,0,0,0,0,加勒比海撲克,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
c9f0f895fb98ab9159f51fd0297e236d,2026-07-23,8,106,1.50,10,10000,50,0,0,0,0,0,三公,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
e4da3b7fbbce2345d7772b0674a318d5,2026-07-23,5,109,2.20,10,100000,50,10000,10000,5000,0,0,大廳,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
eccbc87e4b5ce2fe28308fd9f2a7baf3,2026-07-23,3,103,2.20,10,100000,50,10000,10000,5000,0,0,輪盤,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
45c48cce2e2d7fbdea1afc51c7c6ad26,2026-07-23,9,107,1.50,10,10000,50,0,0,0,0,0,翻摊,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
c51ce410c124a10e0db5e4b97fc2af39,2026-07-23,13,112,2.20,10,10000,50,0,0,0,0,0,温州牌九,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
d3d9446802a44259755d38e6d163e820,2026-07-23,10,108,1.50,10,10000,50,0,0,0,0,0,色碟,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
1679091c5a880faf6fb5e6087eb1b2dc,2026-07-23,6,301,2.20,10,100000,50,0,0,0,0,0,百家樂(電投),a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
6512bd43d9caa6e02c990b0a82652dca,2026-07-23,11,110,2.20,10,10000,50,0,0,0,0,0,鱼虾蟹,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
8f14e45fceea167a5a36dedd4bea2543,2026-07-23,7,105,1.50,10,10000,50,0,0,0,0,0,牛牛,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
a87ff679a2f3e71d9181a67b7542122c,2026-07-23,4,104,2.20,10,100000,50,10000,10000,5000,0,0,骰寶,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
c4ca4238a0b923820dcc509a6f75849b,2026-07-23,1,101,2.20,10,100000,50,0,0,0,0,0,百家樂,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
aab3238922bcc25a6f606eb525ffdc56,2026-07-23,14,113,2.20,10,10000,50,0,0,0,0,0,二八杠,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
c20ad4d76fe97759aa27a0c99bff6710,2026-07-23,12,111,2.20,10,10000,50,0,0,0,0,0,炸金花,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
c81e728d9d4c2f636f067f89cc14862c,2026-07-23,2,102,2.20,10,100000,50,0,0,0,0,0,龍虎,a168,play_set,ods_a168_play_set,2026-07-23 04:23:59
